source_id,title,source_owner,owner_basis,countries,country_ids,institutions,institution_ids,url,source_type,evidence_lanes,effective_evidence_lane,evidence_layers,dependent_claims,report_critical,priority,expected_check_cadence,last_checked,document_date_or_version,version_basis,local_or_registry_location,registry_ids,data_paths,used_for,current_status,review_notes
LRS-01D39CDDB129FD,CYQAA adopts appeals procedure,dipae.ac.cy,URL hostname fallback; review before publication attribution,Cyprus,cyprus,,,https://dipae.ac.cy/index.php/en/cyqaa-en/appeals-procedure-en,procedure or regulation,general-research-integrity,general-research-integrity,country_dossier,country:cyprus:institutional-routes | country:cyprus:source-backbone | country:cyprus:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,12 February 2024,explicit source metadata | not recorded,,,data/countries.js#COUNTRY_DATA[37].dossierDetails.integrityCommittees.groups[2].committees[2].links[0].url | data/countries.js#COUNTRY_DATA[37].dossierDetails.sourceLinks[24].url | data/countries.js#COUNTRY_DATA[37].dossierDetails.timeline[14].sourceUrl,Procedural appeals by HEIs,not yet technically audited by this maintenance pipeline,
LRS-01DBFE74FAE77A,Lund Review Board annual report 2025,staff.lu.se,URL hostname fallback; review before publication attribution,Sweden,sweden,Lund University,lund-university,https://www.staff.lu.se/sites/staff.lu.se/files/2026-03/Annual%20Report%202025%20%E2%80%93%20Deviations%20from%20Good%20Research%20Practice%20Review%20Board.pdf,PDF,general-research-integrity,general-research-integrity,member_profile,member:lund-university:public-output,true,high,monthly technical check; quarterly content review,2026-07-15,year:2025,year in title or URL,,,data/leru-members.js#LERU_MEMBER_DATA[14].sourceLinks[3].url,local annual-report evidence for the Review Board,not yet technically audited by this maintenance pipeline,Public annual report for the local other-deviations route.
LRS-0202528AEE5F77,UB Code of Conduct for Research Integrity news item,web.ub.edu,URL hostname fallback; review before publication attribution,Spain,spain,Universitat de Barcelona,universitat-de-barcelona,https://web.ub.edu/en/web/actualitat/w/the-ub-code-of-conduct-for-research-integrity-is-available-,code or standard,general-research-integrity,general-research-integrity,member_profile,member:universitat-de-barcelona:institutional-route,true,high,monthly technical check; quarterly content review,2026-07-15,,not recorded,,,data/leru-members.js#LERU_MEMBER_DATA[2].sourceLinks[2].url,code approval and misconduct-protocol context,not yet technically audited by this maintenance pipeline,"Explains the code's approval and protocol role for fraud, unacceptable practices and wrongful conduct."
LRS-0287C57BE5E22D,UNIGE CARE animal-research committee,unige.ch,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Switzerland,switzerland,University of Geneva,university-of-geneva,https://www.unige.ch/recherche/expanim/informations-pour-les-chercheurs/reglementation/commission-interfacultaire-dethique-de-lexperimentation-animale,Animal-research boundary,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | member_profile | source_registry,,true,high,monthly technical check; quarterly content review,2026-07-31,Accessed 31 July 2026,explicit source metadata | not recorded,data/source-registry.csv#CH-S034 | data/Switzerland/raw documentation/source notes/Switzerland deep-dive sources.md,CH-S034,data/countries.js#COUNTRY_DATA[34].dossierDetails.integrityCommittees.groups[2].committees[4].links[4].url | data/countries.js#COUNTRY_DATA[34].dossierDetails.sourceLinks[35].url | data/leru-members.js#LERU_MEMBER_DATA[8].sourceLinks[5].url | data/source-registry.csv#CH-S034,Institutional animal-research advice and governance | institutional animal-research advisory committee | University of Geneva member validation,not yet technically audited by this maintenance pipeline,Animal-experimentation governance and advice; keep separate from scientific-integrity case handling. | Institutional animal-research advisory and governance body; kept separate from scientific-integrity investigation and Rectorate sanctions. | Separate from scientific-integrity investigation and Rectorate sanctions.
LRS-02B81EABBDC64E,Bordeaux resource persons,u-bordeaux.fr,URL hostname fallback; review before publication attribution,France,france,,,https://www.u-bordeaux.fr/universite/organisation-et-fonctionnement/personnes-ressources,Contact map,boundary-regime | general-research-integrity,mixed-or-review,country_dossier,country:france:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-29,,not recorded,,,data/countries.js#COUNTRY_DATA[6].dossierDetails.integrityCommittees.groups[1].committees[2].documents[1].url | data/countries.js#COUNTRY_DATA[6].dossierDetails.networkLayers[2].actors[2].documents[1].url,,not yet technically audited by this maintenance pipeline,"Separates RIS, deontology, whistleblowing, data protection and other reference persons."
LRS-0306B102D3171A,University of Warwick annual statement on research integrity 2024-25,warwick.ac.uk,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,United Kingdom,united-kingdom,,,https://warwick.ac.uk/services/ris/research-integrity/annual-statements/research_integrity_eleventh_annual_statement_2024-25.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier | source_registry | transparency_layer,country:united-kingdom:institutional-routes | country:united-kingdom:source-backbone | transparency:united-kingdom:publication-model,true,high,monthly technical check; quarterly content review,2026-04-29,2024-2025 | year:2024,explicit source metadata | year in title or URL,data/source-registry.csv#UK-S044 | data/United Kingdom/raw documentation/source notes/United Kingdom deep-dive sources.md,UK-S044,data/countries.js#COUNTRY_DATA[35].dossierDetails.integrityCommittees.groups[3].committees[7].links[5].url | data/countries.js#COUNTRY_DATA[35].dossierDetails.sourceLinks[56].url | data/source-registry.csv#UK-S044 | data/transparency.js#TRANSPARENCY_DATA[34].resources[17].url,Employer-level Concordat reporting | Institutional annual statement | United Kingdom quality-consolidation pilot,not yet technically audited by this maintenance pipeline,Quality-pass seed source with a visible misconduct allegation table. | Template-style annual statement with visible allegation table; useful for annual-statement depth coding. | Useful seed source for annual-statement depth coding.
LRS-031105279E884D,CYQAA reports page,dipae.ac.cy,URL hostname fallback from source registry; review before publication attribution,Cyprus,,,,https://www.dipae.ac.cy/index.php/en/publications-en/reports-en,Website,mixed-or-review,mixed-or-review,source_registry,,false,supporting,annual or on demand,2026-04-24,,not recorded,data/Cyprus/raw documentation/source notes/Cyprus deep-dive sources.md | data/source-registry.csv#CY-S011,CY-S011,data/source-registry.csv#CY-S011,Cyprus committee-and-case-file pilot,not yet technically audited by this maintenance pipeline,"Public reports page including academic-integrity, ENQA review and self-assessment publications."
LRS-031ECBD4FC997D,Medical University Plovdiv Scientific Ethics Commission,mu-plovdiv.bg,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Bulgaria,bulgaria,,,https://mu-plovdiv.bg/nauchna-deynost/komisiya-po-nauchna-etika,Official university page,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | source_registry,country:bulgaria:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,,not recorded,data/Bulgaria/raw documentation/source notes/Bulgaria deep-dive sources.md | data/source-registry.csv#BG-S008,BG-S008,data/countries.js#COUNTRY_DATA[38].dossierDetails.integrityCommittees.groups[4].committees[6].links[2].url | data/countries.js#COUNTRY_DATA[38].dossierDetails.sourceLinks[23].url | data/source-registry.csv#BG-S008,Bulgaria committee-and-case-file pilot | Research-project ethics application route | Research-project ethics review boundary,not yet technically audited by this maintenance pipeline,"Official scientific ethics committee page with submission route and composition; boundary approval route, not general misconduct publication."
LRS-033CEEF25F7873,2025 draft committee-house staffing amendments,samradapi.island.is,URL hostname fallback; review before publication attribution,Iceland,iceland,,,https://samradapi.island.is/api/Documents/8c1587a1-bf97-f011-9bcf-005056bcce7e,Implementation milestone,general-research-integrity,general-research-integrity,country_dossier,country:iceland:institutional-routes | country:iceland:source-backbone | country:iceland:system-allocation | country:iceland:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,1 January 2026 | year:2025,explicit source metadata | year in title or URL,,,data/countries.js#COUNTRY_DATA[39].dossierDetails.integrityCommittees.groups[0].committees[2].links[1].url | data/countries.js#COUNTRY_DATA[39].dossierDetails.networkLayers[0].actors[1].documents[1].url | data/countries.js#COUNTRY_DATA[39].dossierDetails.sourceLinks[7].url | data/countries.js#COUNTRY_DATA[39].dossierDetails.timeline[11].sourceUrl,Staff and office support for committees from 2026 | Staff and office support from 1 January 2026,not yet technically audited by this maintenance pipeline,
LRS-03467D699553F0,HRA research summaries,hra.nhs.uk,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,United Kingdom,united-kingdom,,,https://www.hra.nhs.uk/planning-and-improving-research/application-summaries/research-summaries,Boundary-regime project register,boundary-regime | general-research-integrity,mixed-or-review,country_dossier | source_registry | transparency_layer,country:united-kingdom:boundary-regimes | transparency:united-kingdom:boundary-review,true,high,monthly technical check; quarterly content review,2026-04-29,,not recorded,data/source-registry.csv#UK-S011 | data/United Kingdom/raw documentation/source notes/United Kingdom deep-dive sources.md,UK-S011,data/countries.js#COUNTRY_DATA[35].dossierDetails.integrityCommittees.groups[4].committees[0].links[1].url | data/countries.js#COUNTRY_DATA[35].dossierDetails.sourceLinks[32].url | data/countries.js#COUNTRY_DATA[35].transparency.resources[12].url | data/source-registry.csv#UK-S011 | data/transparency.js#TRANSPARENCY_DATA[34].resources[19].url,REC-reviewed health and social-care research | REC-reviewed health-research project summaries | United Kingdom committee and case-file pilot,not yet technically audited by this maintenance pipeline,"Boundary project-register visibility, not misconduct case publication. | Searchable health-research project-summary database with REC opinion filters; boundary project register, not misconduct archive. | Strong public project visibility in the health-research boundary lane."
LRS-03948E58AC8D99,Ethics and Management Council regulation approved,mec.gov.md,URL hostname fallback; review before publication attribution,Moldova,moldova,,,https://mec.gov.md/en/content/consiliului-de-etica-si-management-0,procedure or regulation,general-research-integrity,general-research-integrity,country_dossier,country:moldova:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,29 October 2015,explicit source metadata,,,data/countries.js#COUNTRY_DATA[21].dossierDetails.timeline[3].sourceUrl,,not yet technically audited by this maintenance pipeline,
LRS-039C83732D5524,Scientific Research Ethics Committee rulebook,untz.ba,URL hostname fallback; review before publication attribution,Bosnia and Herzegovina,bosnia-and-herzegovina,,,https://untz.ba/wp-content/uploads/2021/01/Pravilnik_o_radu_Etickog_komiteta_za_NIR_08_11_2017.pdf,PDF,boundary-regime,boundary-regime,country_dossier,country:bosnia-and-herzegovina:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,8 November 2017 | year:2017,explicit source metadata | year in title or URL,,,data/countries.js#COUNTRY_DATA[40].dossierDetails.integrityCommittees.groups[2].committees[4].links[2].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.sourceLinks[34].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.timeline[6].sourceUrl,Research-ethics permit and positive-opinion route,not yet technically audited by this maintenance pipeline,
LRS-03B0E2A540270A,UNSA revised HRS4R action plan 2024-2027,unsa.ba,URL hostname fallback; review before publication attribution,Bosnia and Herzegovina,bosnia-and-herzegovina,,,https://unsa.ba/sites/default/files/dodatak/2024-09/UNSA%20Action%20Plan%20Gantt%20Chart_revised%202024_2027.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier,country:bosnia-and-herzegovina:institutional-routes | country:bosnia-and-herzegovina:source-backbone | country:bosnia-and-herzegovina:system-allocation | country:bosnia-and-herzegovina:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-24,2024-2027 | year:2027,explicit source metadata | year in title or URL,,,data/countries.js#COUNTRY_DATA[40].dossierDetails.integrityCommittees.groups[2].committees[0].links[5].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.networkLayers[2].actors[0].documents[3].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.sourceLinks[24].url | data/countries.js#COUNTRY_DATA[40].dossierDetails.timeline[14].sourceUrl,"Code revision, ethics boards, plagiarism training and research support",not yet technically audited by this maintenance pipeline,
LRS-03B5761EC4FFC5,AAK plagiarism deprivation and court-reversal notice,aak.gov.az,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Azerbaijan,azerbaijan,,,https://aak.gov.az/news/229,decision/output archive,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:azerbaijan:institutional-routes | country:azerbaijan:public-output | country:azerbaijan:source-backbone | country:azerbaijan:system-map | country:azerbaijan:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-28,10 July 2025 | 19 September 2025 | 30 September 2025 | 8 May 2024,explicit source metadata | not recorded,data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md | data/source-registry.csv#AZ-S007,AZ-S007,data/countries.js#COUNTRY_DATA[13].documents[3].url | data/countries.js#COUNTRY_DATA[13].dossierDetails.integrityCommittees.groups[0].committees[0].links[2].url | data/countries.js#COUNTRY_DATA[13].dossierDetails.sourceLinks[3].url | data/countries.js#COUNTRY_DATA[13].dossierDetails.timeline[5].sourceUrl | data/countries.js#COUNTRY_DATA[13].dossierDetails.timeline[6].sourceUrl | data/countries.js#COUNTRY_DATA[13].dossierDetails.timeline[7].sourceUrl | data/countries.js#COUNTRY_DATA[13].dossierDetails.timeline[8].sourceUrl | data/countries.js#COUNTRY_DATA[13].transparency.resources[2].url | data/source-registry.csv#AZ-S007,Azerbaijan first expanded app dossier | Scientific degree and academic title consequences,not yet technically audited by this maintenance pipeline,"Best public case-file signal found in this pass. | Best public case-lifecycle trace found: deprivation, Supreme Court decision and AAK reversal. | Public AAK notice dated 30 September 2025 describing an 8 May 2024 plagiarism-based deprivation, 10 July 2025 Supreme Court decision and 19 September 2025 AAK reversal."
LRS-03BBDDDA475391,Clinical trials on medicinal products under Regulation 536/2014,bioetika.lrv.lt,URL hostname fallback; review before publication attribution,Lithuania,lithuania,,,https://bioetika.lrv.lt/en/biomedical-research/authorisation-of-clinical-trials-on-medicinal-products-according-to-the-requirements-of-the-regulation-eu-no-5362014,Ethical assessment route,boundary-regime,boundary-regime,country_dossier,country:lithuania:boundary-regimes,true,medium,quarterly when claim-active; otherwise annual,2026-04-23,year:2014,year in title or URL,,,data/countries.js#COUNTRY_DATA[17].dossierDetails.integrityCommittees.groups[3].committees[3].links[1].url | data/countries.js#COUNTRY_DATA[17].dossierDetails.sourceLinks[40].url,,not yet technically audited by this maintenance pipeline,
LRS-03BCE877797B87,Rulebook on professional and scientific titles amended,nacionalensovetzavoinid.com.mk,URL hostname fallback; review before publication attribution,North Macedonia,north-macedonia,,,https://www.nacionalensovetzavoinid.com.mk/images/dokumenti/SLUBEN%20VESNIK%20NA%20RSM%20br.%20125%20od%2015.06.2023%20-%20Pravilnik.pdf,PDF,general-research-integrity,general-research-integrity,country_dossier,country:north-macedonia:timeline,true,medium,quarterly when claim-active; otherwise annual,,15 June 2023,explicit source metadata,,,data/countries.js#COUNTRY_DATA[41].dossierDetails.timeline[11].sourceUrl,,not yet technically audited by this maintenance pipeline,
LRS-03C4D310B2755E,Research Ireland Open Research,researchireland.ie,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,Ireland,ireland,,,https://www.researchireland.ie/funding-policies/open-research,official webpage or document,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | source_registry,country:ireland:institutional-routes | country:ireland:source-backbone | country:ireland:system-allocation | country:ireland:timeline,true,medium,quarterly when claim-active; otherwise annual,2026-04-30,7 April 2025 | Effective 7 April 2025,explicit source metadata | not recorded,data/Ireland/raw documentation/source notes/Ireland deep-dive sources.md | data/source-registry.csv#IE-S010,IE-S010,data/countries.js#COUNTRY_DATA[7].dossierDetails.integrityCommittees.groups[2].committees[0].documents[2].url | data/countries.js#COUNTRY_DATA[7].dossierDetails.networkLayers[2].actors[0].documents[1].url | data/countries.js#COUNTRY_DATA[7].dossierDetails.sourceLinks[15].url | data/countries.js#COUNTRY_DATA[7].dossierDetails.timeline[21].sourceUrl | data/source-registry.csv#IE-S010,Ireland review and relabel,not yet technically audited by this maintenance pipeline,Current Research Ireland open-research policy route. | Interim policy aligned with legacy SFI/IRC policy and Ireland's National Action Plan for Open Research.
LRS-03CFBDD3D245B3,Sorbonne annual report documents a local integrity route,sorbonne-universite.fr,URL hostname fallback from source registry; review before publication attribution | URL hostname fallback; review before publication attribution,France,france,Sorbonne University,sorbonne-university,https://www.sorbonne-universite.fr/sites/default/files/media/2025-12/integrite_scientifique_rapport_activite_2025.pdf,PDF,general-research-integrity | supporting-unclassified,general-research-integrity,country_dossier | member_profile | source_registry | transparency_layer,country:france:institutional-routes | country:france:public-output | country:france:source-backbone | country:france:system-allocation | country:france:system-map | country:france:timeline | member:sorbonne-university:public-output | transparency:france:publication-model,true,high,monthly technical check; quarterly content review,2026-07-15,January 2024 to April 2025 | year:2025,explicit source metadata | year in title or URL,data/France/raw documentation/source notes/France deep-dive sources.md | data/source-registry.csv#FR-S027,FR-S027,data/countries.js#COUNTRY_DATA[6].documents[8].url | data/countries.js#COUNTRY_DATA[6].dossierDetails.integrityCommittees.groups[1].committees[0].documents[2].url | data/countries.js#COUNTRY_DATA[6].dossierDetails.networkLayers[2].actors[0].documents[1].url | data/countries.js#COUNTRY_DATA[6].dossierDetails.networkLayers[2].actors[5].documents[0].url | data/countries.js#COUNTRY_DATA[6].dossierDetails.sourceLinks[23].url | data/countries.js#COUNTRY_DATA[6].dossierDetails.timeline[19].sourceUrl | data/countries.js#COUNTRY_DATA[6].transparency.resources[6].url | data/leru-members.js#LERU_MEMBER_DATA[19].sourceLinks[4].url | data/source-registry.csv#FR-S027 | data/transparency.js#TRANSPARENCY_DATA[9].resources[5].url,"annual activity and signalement evidence | France committee and case-file pilot | Sorbonne Universite | Sorbonne Universite RIS delegation, committee and ambassador network",not yet technically audited by this maintenance pipeline,"Representative institutional annual-report corridor inside the distributed French system. | Representative institutional annual-report lane with RIS committee ambassador-network and signalement activity evidence. | Representative local annual-report corridor. | Representative local annual-report source with RIS, committee, ambassador-network and signalement activity evidence. | Supports visible annual-statement/reporting evidence, but not public release of the studied case files."
