source_id,country,title,url,source_type,raw_documentation_category,accessed,used_for,stored_in,notes
"AL-S014","Albania","UAMD information and documents page","https://uamd.edu.al/informacione-dhe-dokumenta2/","Website","institutional procedures / research ethics documents","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official UAMD document hub linking the university ethics code, research-activity management regulation and research-ethics code."
"AL-S015","Albania","University of Elbasan Ethics Council","https://uniel.edu.al/universiteti-ue/keshilli-i-etikes","Website","institutional procedures / ethics council page","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official page for the Ethics Council created by Senate decision No. 07 of 7 February 2020; teaching and research ethics scope, membership and ethics-code link."
"AL-S016","Albania","University of Medicine Tirana governing bodies page","https://umed.edu.al/universiteti/organet-drejtuese/?lang=en","Website","institutional procedures / ethics council route","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official UMT page identifying the Ethics Council as a collegiate body for teaching, research and institutional ethics."
"AL-S017","Albania","University of Medicine Tirana Annual Report 2023-2024","https://umed.edu.al/wp-content/uploads/2026/02/Raporti-Vjetor-UMT-2023-2024-_Final-mars-2025docx.pdf","PDF","reports and monitoring / institutional annual-report case trace","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official UMT annual report; records about 150 ethics requests and 45 ethics decisions in 2024, aggregate only."
"AL-S018","Albania","AKBPM mission page","https://akbpm.gov.al/akbpm/misioni/","Website","ethics and boundary regimes / medicines authority route","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official medicines and medical-devices agency page used for the clinical and medicines boundary route."
"AL-S019","Albania","AKBPM updated medicines law PDF","https://akbpm.gov.al/wp-content/uploads/2023/12/ligj-2014-07-31-105_perditesuar-13.pdf","PDF","ethics and boundary regimes / clinical-trial law","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Updated Law No. 105/2014 source used for clinical-trial and ethics-committee boundary mapping."
"AL-S020","Albania","Information and Data Protection Commissioner decisions page","https://idp.al/en/decisions/","Website","ethics and boundary regimes / data-protection decision page","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official data-protection decision page; boundary publication source, not research-misconduct case publication."
"AL-S021","Albania","General Directorate of Industrial Property home and register page","https://dppi.gov.al/en/","Website","ethics and boundary regimes / IP register and appeal infrastructure","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Official industrial-property office page exposing registers, appeal/chamber infrastructure and publications; IP boundary route."
"AL-S022","Albania","ASCAL mission and activity","https://mail.ascal.al/en/about-us/mission-and-activity","Website","research integrity offices and bodies / quality-assurance actor","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Updated use of existing ASCAL source for QA classification and legal basis under DCM No. 109 and Law No. 80/2015."
"AL-S023","Albania","ASCAL Accreditation Board organization","https://www.ascal.al/en/accreditation-board/organization","Website","research integrity offices and bodies / quality-assurance decision body","2026-04-26","Albania expanded overview and committee-route pass","data/Albania/raw documentation/source notes/initial extraction notes.md","Updated use of existing Accreditation Board source for final QA decision-maker role, current appointment and distinction from misconduct handling."
AD-S001,Andorra,AQUA profile,https://www.aqua.ad/en/node/33,Website,research integrity offices and bodies,2026-04-16,Initial source map,data/Andorra/raw documentation/source notes/initial extraction notes.md,"Used to identify AQUA as higher-education quality-assurance actor."
AD-S002,Andorra,AQUA Law 9/2016 PDF,https://www.aqua.ad/sites/default/files/2024-01/37_17-003_llei_9-2016_28_juny_agencia_qualitat_ensenyament_superior.pdf,PDF,law references,2026-04-16,Initial source map,data/Andorra/raw documentation/source notes/initial extraction notes.md,"Agency-law source for AQUA."
AD-S003,Andorra,Consolidated higher-education law PDF,https://www.aqua.ad/sites/default/files/2024-01/36_17-002_decret_legislatiu_30_05_18_text_refos_llei_12_2008_ensenyament_superior.pdf,PDF,law references,2026-04-16,Initial source map,data/Andorra/raw documentation/source notes/initial extraction notes.md,"Legal source for Andorran higher education."
AD-S004,Andorra,AQUA Code of Ethics PDF,https://www.aqua.ad/sites/default/files/2024-01/3_17-004_aqua_code_ethics_en.pdf,PDF,codes of conduct,2026-04-16,Initial source map,data/Andorra/raw documentation/source notes/initial extraction notes.md,"Agency/evaluator ethics source."
AD-S005,Andorra,AQUA Strategic Plan 2026-2028 PDF,https://www.aqua.ad/sites/default/files/2024-10/Strategic%20Plan%202026-2028_1.pdf,PDF,reports and monitoring,2026-04-16,Initial source map,data/Andorra/raw documentation/source notes/initial extraction notes.md,"Current mandate and priority source for quality assurance."
AD-S006,Andorra,University of Andorra CoARA national chapters meeting,https://www.uda.ad/blog/andorra-hosts-the-second-meeting-of-the-coara-national-chapters/,Website,open science and data,2026-04-16,Initial source map,data/Andorra/raw documentation/source notes/initial extraction notes.md,"Research-assessment reform signal, not a misconduct source."
"AD-S007","Andorra","AQUA agency page","https://www.aqua.ad/lagencia","Website","research integrity offices and bodies / quality-assurance actor","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official AQUA page used for mandate, functions and classification as higher-education and research-quality assurance actor."
"AD-S008","Andorra","AQUA evaluations and institutional legal frame","https://www.aqua.ad/avaluacions-0","Website","reports and monitoring / quality-assurance route","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official AQUA evaluation page used for institutional evaluation process, law links, appeals signal and distinction from misconduct handling."
"AD-S009","Andorra","AQUA 2024 activity report","https://www.aqua.ad/sites/default/files/2025-06/2_24-041_Mem%C3%B2ria_activitats_2024.pdf","PDF","reports and monitoring / quality-assurance annual report","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Annual-report source for AQUA programme-evaluation tables, favourable/unfavourable/pending outcomes and the academic-integrity research line."
"AD-S010","Andorra","AQUA appeals page","https://www.aqua.ad/avaluacions-4","Website","reports and monitoring / quality-assurance appeal route","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official route for administrative appeals against AQUA evaluation resolutions; procedure found but no public appeal-decision archive located."
"AD-S011","Andorra","AQUA appeal guide","https://www.aqua.ad/sites/default/files/2025-04/Guia%20d%27apel%C2%B7laci%C3%B3_mar%C3%A7%202025_V1%201.pdf","PDF","institutional procedures / quality-assurance appeal guide","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","March 2025 guide used for Commission of Appeals composition, appeal steps, recusal route and motivated-resolution process."
"AD-S012","Andorra","AQUA organs-management guide","https://www.aqua.ad/sites/default/files/2025-04/Guia%20gesti%C3%B3%20%C3%B2rgans%20AQUA%20v1.pdf","PDF","institutional procedures / quality-assurance governance","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Used for AQUA committee governance, code-of-ethics commitments and expert/commission obligations."
"AD-S013","Andorra","University of Andorra Research and Doctoral Commission","https://www.uda.ad/recerca/escola-internacional-de-doctorat/comissio-de-recerca-i-doctorat/","Website","institutional procedures / research-governance route","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official UdA page used for research-policy, research-line, project, group, coordination and doctoral-monitoring functions."
"AD-S014","Andorra","University of Andorra doctoral programme","https://www.uda.ad/programa-de-doctorat/","Website","institutional procedures / doctoral governance","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Used for doctoral milestones, supervisor accreditation, external evaluation and Research and Doctoral Commission role."
"AD-S015","Andorra","University of Andorra guides and procedures page","https://www.uda.ad/universitat/consell-de-la-qualitat/guies-i-procediments/","Website","institutional procedures / quality council academic-integrity route","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official Quality Council page linking the procedure for avoiding and managing plagiarism and academic fraud."
"AD-S016","Andorra","University of Andorra plagiarism and academic-fraud procedure","https://www.uda.ad/wp-content/uploads/2024/05/PlagiFrauAcademic042024.pdf","PDF","misconduct procedures / academic-integrity procedure","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","April 2024 procedure used for plagiarism and fraud management in evaluable activities; coded as academic-integrity/teaching route rather than public research-misconduct archive."
"AD-S017","Andorra","University of Andorra research-groups regulation","https://www.uda.ad/wp-content/uploads/2024/06/Reglament-grups-de-recerca.pdf","PDF","institutional procedures / research groups","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official UdA regulation used for research-group route and confidentiality/governance signals."
"AD-S018","Andorra","Government third-cycle grants page","https://www.govern.ad/ca/ministeris-i-secretaries-d-estat/ministeri-de-relacions-institucionals-educacio-i-universitats/departament-d-ensenyament-superior-recerca-i-innovacio-tecnologica/recerca/ajuts-a-la-recerca/ajuts-de-3r-cicle","Website","funder requirements / doctoral grants","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official Department of Higher Education, Research and Technological Innovation page for third-cycle grants and BOPA-linked calls."
"AD-S019","Andorra","Government research dissemination page","https://www.govern.ad/ca/ministeris-i-secretaries-d-estat/ministeri-de-relacions-institucionals-educacio-i-universitats/departament-d-ensenyament-superior-recerca-i-innovacio-tecnologica/recerca/difusio","Website","reports and monitoring / research ecosystem","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Government research-dissemination page used for current research-support and investigator-community context."
"AD-S020","Andorra","Andorra Recerca + Innovacio who-we-are page","https://www.ari.ad/qui-som","Website","research integrity offices and bodies / public research actor","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official AR+I page used to identify the public-sector research and innovation foundation, Law 11/2021 link and mission; not an adjudication route."
"AD-S021","Andorra","Ministry of Health CEI page","https://www.govern.ad/ca/tematiques/salut/temes-de-salut/recerca-en-l-ambit-de-la-salut-i-la-biomedicina/comissio-d-etica-de-la-investigacio-cei","Website","ethics and boundary regimes / biomedical ethics committee","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official page for the Comissio d'Etica de la Investigacio; used for clinical and biomedical research approval route."
"AD-S022","Andorra","Law 3/2023 on biomedical research and innovation","https://portaljuridicandorra.ad/L2023003","Website","law references / biomedical research law","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Legal Portal text used for CEI functions, centre ethics committee route and ministry authorization under the biomedical research boundary."
"AD-S023","Andorra","APDA resolutions page","https://www.apda.ad/resolucions","Website","ethics and boundary regimes / data-protection decision page","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official data-protection resolution and instruction page; coded as boundary decision source, not general research-misconduct publication."
"AD-S024","Andorra","OMPA trademarks and patents page","https://www.govern.ad/ca/tematiques/empresa-i-emprenedoria/ompa","Website","ethics and boundary regimes / IP register and route","2026-04-26","Andorra expanded overview and committee-route pass","data/Andorra/raw documentation/source notes/initial extraction notes.md","Official trademarks and patents route for IP boundary mapping, including registers, gazettes and forms."
AM-S001,Armenia,HESC laws and regulations page,https://degrees.hesc.am/en/node/542,Website,law references,2026-04-16,Initial source map,data/Armenia/raw documentation/source notes/initial extraction notes.md,"Used to identify laws and regulations on scientific activity and degree award."
AM-S002,Armenia,HESC about page,https://degrees.hesc.am/en/about-us,Website,research integrity offices and bodies,2026-04-16,Initial source map,data/Armenia/raw documentation/source notes/initial extraction notes.md,"Used to identify committee functions and degree-award responsibilities."
AM-S003,Armenia,HESC defense-process page,https://degrees.hesc.am/en/node/540,Website,institutional procedures,2026-04-16,Initial source map,data/Armenia/raw documentation/source notes/initial extraction notes.md,"Used to identify document-integrity check in the defense process."
AM-S004,Armenia,Council of Europe page on Armenian RECs,https://www.coe.int/en/web/yerevan/news1/-/asset_publisher/wWTBvPqHlz8x/content/members-of-armenian-research-ethics-committees-have-strengthened-their-capacities-in-line-with-the-main-principles-and-standards-of-european-recs,Website,ethics and boundary regimes,2026-04-16,Initial source map,data/Armenia/raw documentation/source notes/initial extraction notes.md,"Used to identify Armenian biomedical research ethics committees and European standards link."
"AM-S005","Armenia","HESC orders page","https://degrees.hesc.am/en/orders","Website","reports and monitoring / degree-title order stream","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Public HESC/Supreme Certifying Committee order stream for scientific degrees and academic titles; extraction target for later award refusal revocation and appeal classification."
"AM-S006","Armenia","HESC specialized academic councils directory","https://degrees.hesc.am/en/councils","Website","institutional procedures / degree-award councils","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Used to map the specialized academic council network behind dissertation-defense and degree-award handling."
"AM-S007","Armenia","HESC doctoral dissertation guide","https://degrees.hesc.am/en/node/568","Website","institutional procedures / dissertation standards","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Used for dissertation-publication and citation/reuse standards in the degree-award route."
"AM-S008","Armenia","HESC Incoming Research Fellowship Program 2025/2 call","https://irf-armenia-2025.hesc.am/documents/25IRF-2_Call_ENG.pdf","PDF","funder requirements / grant compliance","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official HESC call used for predatory or fraudulent publication checks output requirements reporting funding termination and future-application consequence rules."
"AM-S009","Armenia","ANQA accreditation page","https://www.anqa.am/en/accreditation/","Website","reports and monitoring / QA decision and expert-report corridor","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official ANQA page for accreditation process Accreditation Committee decisions expert reports and quality-assurance distinction from misconduct publication."
"AM-S010","Armenia","ANQA State Accreditation Register","https://register.anqa.am/","Website","reports and monitoring / QA register","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official register landing page for institutional and programme accreditation; coded as QA register not misconduct archive."
"AM-S011","Armenia","National Institute of Health Ethics Committee","https://new.nih.am/subdivisions/ethics_committee/","Website","ethics and boundary regimes / biomedical REC route","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official NIH Ethics Committee page used for biomedical and behavioral research review route and 5 June 2021 establishment signal."
"AM-S012","Armenia","Yerevan State Medical University Ethics Committee","https://ysmu.am/en/research/ethics-committee/","Website","institutional procedures / medical university ethics committee","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official YSMU route source for clinical medical pharmacological animal research and behavioral ethics review with positive positive-with-remarks and negative conclusions."
"AM-S013","Armenia","American University of Armenia Research Ethics and IRB policy","https://policies.aua.am/policy/107","Website","institutional procedures / IRB policy","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official AUA policy source for IRB appointment research ethics procedures and community education duties."
"AM-S014","Armenia","American University of Armenia IRB guidebook page","https://aua.am/aua-institutional-review-board-guidebook/","Website","institutional procedures / IRB application route","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official AUA route page for IRB membership training and application forms; approval route not public misconduct archive."
"AM-S015","Armenia","Institute of Molecular Biology Ethics Committee","https://imb.am/ethics-committee/","Website","institutional procedures / institute IRB route","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official IMB page listing IORG FWA IRB identifiers committee membership and review forms."
"AM-S016","Armenia","Yerevan State University Turnitin Similarity rollout","https://www.ysu.am/en/IT-center/articles/75571","Website","misconduct procedures / originality-control infrastructure","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official YSU article used as originality-control and academic-integrity infrastructure signal for theses and scientific articles."
"AM-S017","Armenia","Law on Medicines clinical-trial provisions","https://www.arlis.am/hy/acts/193634","Website","ethics and boundary regimes / clinical-trial law","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official legal source for clinical-trial authorization favourable ethics opinions monitoring termination conflict-of-interest rules and public registry duty."
"AM-S018","Armenia","Pharm.am permitted clinical trials page","https://www.pharm.am/index.php/en/permitted-clinical-trials","Website","ethics and boundary regimes / clinical-trial register","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official medicines-route page for permitted clinical trials and required documents; boundary register not general RI publication."
"AM-S019","Armenia","Law on Veterinary Medicine animal-experiment provisions","https://www.arlis.am/hy/acts/193641","Website","ethics and boundary regimes / animal-research permit route","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official legal source for animal-experiment permit applications authorisation rejection appeal and permit-register provisions."
"AM-S020","Armenia","Personal Data Protection Agency","https://pdpa.am/en","Website","ethics and boundary regimes / data-protection authority","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official data-protection authority page used for privacy boundary route guidance decrees reports and administrative-penalty signals."
"AM-S021","Armenia","Ministry of Justice advisory and other decisions page","https://www.moj.am/en/page/609","Website","ethics and boundary regimes / data-protection decisions","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official Ministry of Justice page for personal-data advisory and other decisions; boundary publication source not misconduct archive."
"AM-S022","Armenia","Intellectual Property Office of the Republic of Armenia","https://aipo.am/en/","Website","ethics and boundary regimes / IP register and appeal infrastructure","2026-04-28","Armenia first expanded app dossier","data/Armenia/raw documentation/source notes/initial extraction notes.md","Official AIPO page used for IP boundary mapping including official bulletin patent attorneys board of appeal annual report and search routes."
"AZ-S001","Azerbaijan","AAK official website","https://aak.gov.az/","Website","research integrity offices and bodies / national attestation route","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Navigation hub for the Higher Attestation Commission, including statute, expert councils, appeals, dissertation councils, decisions, bulletins, dissertation defenses and news."
"AZ-S002","Azerbaijan","AAK regulation on scientific degrees","https://aak.gov.az/upload/page/ed_asasname3.pdf","PDF","law references / scientific-degree attestation regulation","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Regulation used for degree award, refusal, deprivation and restoration grounds, including plagiarism and procedure violations."
"AZ-S003","Azerbaijan","AAK regulation on scientific titles","https://aak.gov.az/upload/page/elmiad_asasname1.pdf","PDF","law references / academic-title attestation regulation","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Regulation used for title deprivation and restoration grounds, including plagiarism and scientific-ethics violations."
"AZ-S004","Azerbaijan","AAK dissertation defenses","https://aak.gov.az/elanView","Website","reports and monitoring / dissertation-defense metadata corridor","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Public defense-announcement table with candidate, title, date, field, specialty, degree and defense-location metadata."
"AZ-S005","Azerbaijan","AAK dissertations and abstracts","https://aak.gov.az/avtoreferat","Website","reports and monitoring / dissertation and abstract database","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","AAK database for dissertation and abstract records; page text indicates coverage of defended files at several AAK consideration stages including positive decisions and refusals."
"AZ-S006","Azerbaijan","AAK foreign scientific-degree recognition database","https://aak.gov.az/academic_degree","Website","reports and monitoring / degree-recognition metadata","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Recognition and nostrification metadata source used to separate foreign-degree recognition from domestic misconduct handling."
"AZ-S007","Azerbaijan","AAK plagiarism deprivation and court-reversal notice","https://aak.gov.az/news/229","Website","reports and monitoring / selective attestation case notice","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Public AAK notice dated 30 September 2025 describing an 8 May 2024 plagiarism-based deprivation, 10 July 2025 Supreme Court decision and 19 September 2025 AAK reversal."
"AZ-S008","Azerbaijan","AAK interview on reforms, plagiarism and statistics","https://aak.gov.az/news/220","Website","reports and monitoring / official interview and aggregate statistics","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Official AAK interview used for plagiarism controls, degree-title refusal statistics, expert-review framing and attestation-system reform."
"AZ-S009","Azerbaijan","AAK 2019-2022 statistics and plagiarism deprivation note","https://aak.gov.az/news/144","Website","reports and monitoring / official statistics and case note","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Official AAK source used for aggregate attestation statistics and a 16 April 2021 plagiarism-based deprivation and supervisor restriction note."
"AZ-S010","Azerbaijan","Law on Science English text","https://ehea.edu.az/en/documents/25/2/","Website","law references / science law and coordination frame","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","English law text used for scientific ethics, research coordination and the Scientific Research Coordination Council frame."
"AZ-S011","Azerbaijan","Scientific Research Coordination Council establishment note","https://ica.az/en/elmi-t%C9%99dqiqatlarin-elaq%C9%99l%C9%99ndirilm%C9%99si-surasi-yaradilib/","Website","national policies and guidance / research coordination route","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Current evidence of ministry-linked Scientific Research Coordination Council composition and voluntary operation."
"AZ-S012","Azerbaijan","TKTA accreditation page","https://tkta.edu.az/p/accreditation/c/accreditation","Website","reports and monitoring / quality-assurance route","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Official accreditation-route page used for expert commission tasks, final-report duties, lawfulness reporting and appeal interaction."
"AZ-S013","Azerbaijan","TKTA accreditation reports","https://tkta.edu.az/p/akkreditasiya-hesabatlari","Website","reports and monitoring / quality-assurance report corridor","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Official public accreditation-report corridor for higher-education institutions and programmes; coded as QA rather than misconduct publication."
"AZ-S014","Azerbaijan","TKTA annual reports","https://tkta.edu.az/p/illik-hesabatlar","Website","reports and monitoring / quality-assurance annual reports","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Annual reporting corridor for TKTA quality-assurance and recognition activity."
"AZ-S015","Azerbaijan","Azerbaijan Science Foundation charter","https://aef.gov.az/en/pages/view/97","Website","funder requirements / science-funder governance","2026-04-28","Azerbaijan first expanded app dossier","data/Azerbaijan/raw documentation/source notes/Azerbaijan first-dossier sources.md","Official charter source for funder role and project-governance context; no public grant-misconduct sanction archive found."
